objectid,cty16cd,cty16nm,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
1,E10000002,Buckinghamshire,482506,208561,-0.80568999,51.76966095,1564949150,361852.6375
2,E10000003,Cambridgeshire,520312,273864,-0.23506001,52.34965897,3052513773,507456.5233
3,E10000006,Cumbria,341868,527389,-2.90217996,54.63825989,6822195399,987067.1687
4,E10000007,Derbyshire,426752,353556,-1.60210001,53.07857895,2550762423,469168.8315
5,E10000008,Devon,283141,93082,-3.65701008,50.72555923,6567162441,1066742.959
6,E10000009,Dorset,370871,99796,-2.41466999,50.79697037,2541730492,571853.5987
7,E10000011,East Sussex,564120,118026,0.33453,50.93832016,1712691601,345893.3055
8,E10000012,Essex,575269,215407,0.54104602,51.80981827,3472143994,1088790.653
9,E10000013,Gloucestershire,389595,213465,-2.15234995,51.81970978,2653031416,533507.0533
10,E10000014,Hampshire,452858,127535,-1.24735999,51.04473114,3678956957,691303.1028
11,E10000015,Hertfordshire,518883,213642,-0.27699,51.8087883,1643064931,302891.5101
12,E10000016,Kent,590262,147263,0.72155303,51.19290161,3546055426,665693.5408
13,E10000017,Lancashire,369784,440758,-2.46091008,53.86215973,2904432103,797117.2712
14,E10000018,Leicestershire,442147,310191,-1.3779,52.68778992,2083786941,378800.78
15,E10000019,Lincolnshire,517985,358543,-0.23882,53.11104965,5937285889,726096.7782
16,E10000020,Norfolk,600546,312278,0.96466202,52.67110825,5381605318,962969.7179
17,E10000021,Northamptonshire,477359,268708,-0.86668003,52.31105042,2366990162,380407.8316
18,E10000023,North Yorkshire,429509,466515,-1.55032003,54.09371185,8040262126,873625.1155
19,E10000024,Nottinghamshire,466570,359496,-1.00655997,53.12850189,2084711098,387062.0959
20,E10000025,Oxfordshire,448985,208334,-1.29146004,51.77154922,2605947810,413240.4338
21,E10000027,Somerset,309293,131082,-3.29605007,51.07186127,3452098605,527425.956
22,E10000028,Staffordshire,398243,334651,-2.02756,52.90930176,2623314390,502096.4885
23,E10000029,Suffolk,608216,266122,1.04914796,52.2538681,3802344785,757293.4618
24,E10000030,Surrey,515966,153408,-0.33910999,51.26802826,1670072929,273588.1628
25,E10000031,Warwickshire,429584,253588,-1.56874001,52.17977142,1977522678,397570.2526
26,E10000032,West Sussex,508316,118010,-0.45932999,50.95133972,1990871639,484096.3858
27,E10000034,Worcestershire,385792,257203,-2.20935011,52.21287155,1740514188,372990.2948
